WER Diagnostics (ROBUST)
================================================================================
Source JSON: results/stereo_results_range.json
--------------------------------------------------------------------------------
WER: 94.03 %
HITS: 235 | SUB: 31 | INS: 219 | DEL: 2

Top substitutions:
2x | kterej => který
1x | ádler => adler
1x | spravoval => zpravoval
1x | ano => zmizel
1x | švýcarský => švýcarských
1x | zajímavý => zajímavé
1x | blondýna => blondína
1x | pelhřimova => pelařimová
1x | koloniálem => koloniální
1x | pelhřimově => pelařimově
1x | ella => ela
1x | pelhřimově => pelřimově
1x | napros => byla
1x | pořádně => podle
1x | hm => to
1x | jediný => jediné
1x | švýcar => švýca
1x | velkej => velký
1x | mojí => moji
1x | z => strany

Top deletions:
1x | tak
1x | paní

Top insertions:
1x | šumavy jmenoval se edmund
1x | jmenuval se edmund adler po celý život
1x | můj vzor to byl
1x | a on vt době zpravoval velkostatek který se jmenoval starý brunst což je velkostatek který leží na hlavní silnici vedoucí z klatov do bavor
1x | byl to vzorný statek který dneska jako mnoho jiných objektů na šumavě prostě
1x | do
1x | tam táta prováděl meliorizace modernizoval to dovezl do švýcarských chov
1x | veptat mluvili jste doma česky nebo německy jaký byl tvůj rodný jazyk
1x | ježenka je
1x | pelařimová komenka je modrooká blondína z
1x | její tatínek byl mořic klein a měl obchod koloniálem v pražimově
1x | naprosto česky orientovaná rodina která neuměla pořádně německy babička je z rokycan jmenovala se původně lederová a jim se narodila ta dcera ela elinka a ta chodila do školy v perlřimově a
1x | naprosto
1x | dědeček a babička rozuměli německy ale neobládali
1x | vládali to
1x | maminka když se jim dařilo dobře byla jako jediné dítě vyslána do švýca do penzionátu tam se naučila dobře francouzsky
1x | dobře německy což mělo velký vliv na moji výchovu a
1x | odcoho strany otec pochází s vesničkým jménem zůří na šumavě to je nedaleko toho velkostatku v blízkosti hartmanic což je starý soudní okres na šumavě kde byl židovský hřbitov a zcela jinak to bylo odcovo
1x | hůtích ta rodina adlerová žila tím že měli malinký krámeček av okolních vesnicích byli jenom němci a pracovali
